# BEGIN HISTO1D /REF/CMS_2017_PAS_FSQ_16_008/d01-x01-y01
IsRef=1
Path=/REF/CMS_2017_PAS_FSQ_16_008/d01-x01-y01
Title=
# xlow   xhigh   val     errminus        errplus                           
3.00E+001	3.50E+001	1.5	0.0972544	0.0972544
3.50E+001	4.00E+001	1.58	0.119778	0.119778
4.00E+001	4.50E+001	1.6	0.103786	0.103786
4.50E+001	5.00E+001	1.65	0.111825	0.111825
5.00E+001	5.50E+001	1.78	0.109753	0.109753
5.50E+001	6.00E+001	1.75	0.125707	0.125707
6.00E+001	6.50E+001	1.83	0.131261	0.131261
6.50E+001	7.00E+001	1.86	0.129442	0.129442
7.00E+001	8.00E+001	1.94	0.130858	0.130858
8.00E+001	9.00E+001	2.01	0.154535	0.154535
9.00E+001	1.00E+002	2.03	0.108446	0.108446
# END HISTO1D

# BEGIN HISTO1D /REF/CMS_2017_PAS_FSQ_16_008/d06-x01-y01
IsRef=1
Path=/REF/CMS_2017_PAS_FSQ_16_008/d06-x01-y01
Title=
# xlow   xhigh   val     errminus        errplus       
0.00E+000	5.00E+000	1.08	0.0594314	0.0594314
5.00E+000	1.00E+001	1.3	0.0723104	0.0723104
1.00E+001	1.50E+001	1.58	0.0886344	0.0886344
1.50E+001	2.00E+001	1.89	0.107772	0.107772
2.00E+001	2.50E+001	2.19	0.121628	0.121628
2.50E+001	3.00E+001	2.5	0.136686	0.136686
3.00E+001	3.50E+001	2.84	0.147941	0.147941
3.50E+001	4.00E+001	3.15	0.169412	0.169412
4.00E+001	4.50E+001	3.46	0.175481	0.175481
4.50E+001	5.00E+001	3.77	0.19154		0.19154
5.00E+001	5.50E+001	4.08	0.201123	0.201123
5.50E+001	6.00E+001	4.42	0.222458	0.222458
6.00E+001	6.50E+001	4.69	0.233018	0.233018
6.50E+001	7.00E+001	5.03	0.23778		0.23778
7.00E+001	8.00E+001	5.51	0.276498	0.276498
8.00E+001	9.00E+001	6.16	0.290037	0.290037
9.00E+001	1.00E+002	6.8	0.330648	0.330648
# END HISTO1D



